Date,Brand,Open,High,Low,Close,Volume
2019-01-01,Gucci,1064.3628824760117,1064.9092266760215,1060.4756189972463,1066.2410688967577,148825
2019-01-02,Gucci,1046.9685119269268,1056.6992935566502,1044.5655206924232,1054.3989283765654,113877
2019-01-03,Gucci,1057.1410752399936,1059.4023285524904,1056.1914224877098,1058.6074352520675,229065
2019-01-04,Gucci,1059.4910927361736,1062.5330799325363,1056.3419082902847,1063.154729395609,208443
2019-01-07,Gucci,1068.8634116849648,1071.902836807515,1067.8969633420872,1075.0568102775044,461756
2019-01-08,Gucci,1056.3287871725474,1058.6329537937208,1054.5598176643075,1060.6330618322381,217674
2019-01-09,Gucci,1053.7467688549716,1053.7615070758347,1043.8734072691761,1044.7591906655425,215074
2019-01-10,Gucci,1047.6328093370855,1054.9262572779655,1043.1917737680194,1049.9604965262952,496474
2019-01-11,Gucci,1039.3622193352212,1049.030674333214,1034.043501670171,1034.6844487805329,351881
2019-01-14,Gucci,1010.5117926012084,1012.7547274340589,1001.7756073138363,1007.7370338093352,131629
2019-01-15,Gucci,1028.5086401878498,1035.139112105884,1018.5529511829429,1025.9487629551604,254030
2019-01-16,Gucci,1032.841535174176,1040.260498443763,1027.014390680729,1029.1240895869287,377919
2019-01-17,Gucci,1015.1199958974739,1023.6042496883791,1006.9952576870322,1015.41147776246,265279
2019-01-18,Gucci,1011.7541073198743,1015.9803992900104,1008.4846970765075,1008.7882351318375,362199
2019-01-21,Gucci,1004.832249182988,1007.8615582393923,1001.774809608515,1010.2129382450981,349084
2019-01-22,Gucci,999.3327290944717,1002.585680434702,995.3056918845261,999.9089823909538,188697
2019-01-23,Gucci,977.0873734770681,984.2135868080533,970.3623008503316,972.5381802496481,263945
2019-01-24,Gucci,974.8297493230048,982.9975439880611,968.0078324304537,969.3456138803934,201505
2019-01-25,Gucci,976.582669089045,978.3988087666111,973.4302747425505,982.9633464183743,442864
2019-01-28,Gucci,1007.1294947185977,1010.8389048001753,1005.7973954772314,1006.524051353043,297277
2019-01-29,Gucci,1009.6644943666115,1018.683896334103,1003.3405318019564,1005.3314660013157,440343
2019-01-30,Gucci,1004.4575415849607,1012.5244767819081,1003.1742829630731,1006.6525064374035,256390
2019-01-31,Gucci,1006.5240319669019,1016.3726159945267,1000.7391068846086,1006.9414553742198,133734
2019-02-01,Gucci,992.3792052982584,999.9216878950792,985.4449840176953,990.8929948704563,313299
2019-02-04,Gucci,1008.8644366147819,1012.7963886250611,1001.8583216508374,1003.1147565749606,249594
2019-02-05,Gucci,1007.4065124772577,1013.3128908172041,999.8717913706618,1002.7690712080439,242728
2019-02-06,Gucci,1006.0244253441962,1012.6345678866694,997.2958311285395,999.6833488393997,246965
2019-02-07,Gucci,995.709727094064,996.4942852572352,990.7101371744161,992.8455657193196,378637
2019-02-08,Gucci,993.4708603301905,998.9158299212291,986.1683684348948,990.2798117996947,496848
2019-02-11,Gucci,987.9754226536601,995.0686309383861,981.7836953000017,988.8240098259182,195872
2019-02-12,Gucci,983.0666310583686,984.7398440983792,981.2002316603918,983.3747609825641,423923
2019-02-13,Gucci,978.5345279595812,986.3408451338368,978.2776315108871,981.9444203079169,269524
2019-02-14,Gucci,985.6486260492816,991.4863538544226,982.8032121925122,986.7123864609239,244338
2019-02-15,Gucci,970.7028782722687,980.2250961292447,966.2725412088924,976.0371065032466,483331
2019-02-18,Gucci,986.8370666550048,987.2612896370738,980.6660072107182,990.2126707795089,216603
2019-02-19,Gucci,1011.1316834468824,1013.7849448224371,1002.6320901418504,1010.6334659693712,423751
2019-02-20,Gucci,1029.363185432927,1035.3787242259252,1027.4007282658652,1029.817317474057,116940
2019-02-21,Gucci,1028.2031873583196,1031.168786480379,1026.947689459335,1027.6280626002517,255075
2019-02-22,Gucci,1038.8358826106962,1045.9801242514086,1029.201083135953,1032.3701245131592,227880
2019-02-25,Gucci,1021.8454702731199,1029.4355230983392,1020.7650246793557,1023.432970173694,198408
2019-02-26,Gucci,1013.3074262330588,1014.3325858737235,1008.5225155319869,1013.5817735334508,396959
2019-02-27,Gucci,1021.6518574838033,1026.790402125871,1015.7962201958702,1023.5734992965481,261941
2019-02-28,Gucci,1011.9134881502291,1017.0023937061396,1006.4997439411547,1015.0829733299433,149297
2019-03-01,Gucci,999.638617365936,1003.3314250680914,998.7782957956066,1007.2269366497117,160107
2019-03-04,Gucci,992.4182733369851,1001.7475219626817,991.8480041969489,995.4447598091796,444937
2019-03-05,Gucci,975.2130385537436,983.4881017524758,974.1582042791332,981.03054771374,119622
2019-03-06,Gucci,979.8346018720541,986.8066956911505,973.978725033328,977.1070670085702,392552
2019-03-07,Gucci,984.6167993322733,991.7600656896233,979.1733504559302,979.782405888282,239909
2019-03-08,Gucci,990.9713935721062,995.5885550102374,988.6339856517387,995.6496383077681,246479
2019-03-11,Gucci,1002.1263211744866,1011.3362663854524,995.7485797560307,995.8468552817286,260381
2019-03-12,Gucci,1006.6826780178735,1013.6286322904064,998.4820029973171,1002.5738288719019,193190
2019-03-13,Gucci,1004.1874150924677,1011.4772257090259,1003.7716254940018,1007.0654181870226,352356
2019-03-14,Gucci,999.0461849646715,1007.663094002545,994.0648855291911,1000.9986609143796,317984
2019-03-15,Gucci,992.2441402935401,994.984856186962,985.3510361725132,993.013490900117,100370
2019-03-18,Gucci,999.1047542944468,1007.1754633331138,996.58163502375,999.6225813834628,476356
2019-03-19,Gucci,1001.4903593343223,1003.4427653638872,998.4126502813908,1006.5289204258394,362630
2019-03-20,Gucci,992.0532834192284,995.5067029416772,985.9169043893345,988.8560719943838,385906
2019-03-21,Gucci,1002.6436294137867,1005.9997339564851,993.6642764793494,998.127540079215,126613
2019-03-22,Gucci,995.6048073167798,1005.3900620006712,987.5055631137508,994.7757483838922,343876
2019-03-25,Gucci,1003.2864597670108,1011.8518320044901,997.4551575760149,1004.3843598682628,103196
2019-03-26,Gucci,1002.9136035665888,1009.9253021824914,995.6113863890163,1005.4850711121383,326009
2019-03-27,Gucci,997.8869211057187,1005.1574887218726,994.2386964036407,996.4903066458,462709
2019-03-28,Gucci,992.8810023336307,998.5017302776564,986.4713470526432,993.094526188039,438493
2019-03-29,Gucci,1006.6461353950708,1016.117042066156,1001.9843194837953,1008.081138566553,426983
2019-04-01,Gucci,1014.9082214090334,1019.8708089378571,1013.0088600444578,1022.1598445893582,108572
2019-04-02,Gucci,1024.880801545173,1028.685978643872,1017.8634188064004,1019.4270402228492,145853
